Holiday,CountryFilter,City,Country,Link
December Holidays,Argentina,Ushuaia,Argentina,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIIdwjAs0dTsZ8v60mB6SPVZbl-Z5w:1563972608075%22,%22san+andres+island%22,%22/m/080h2%22%5D&tcfs=&dest_mid=/m/01zdns#dest_mid=/m/01zdns&tcfs=EhQKCS9tLzAxemRucxIHVXNodWFpYQ"
December Holidays,Argentina,El Calafate,Argentina,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIIdwjAs0dTsZ8v60mB6SPVZbl-Z5w:1563972608075%22,%22san+andres+island%22,%22/m/080h2%22%5D&tcfs=&dest_mid=/m/0bzq9k#dest_mid=/m/0bzq9k&tcfs=EhgKCS9tLzBienE5axILRWwgQ2FsYWZhdGU"
December Holidays,Argentina,New York NY,US,https://www.google.com/destination?dest_mid=/m/02_286&dest_src=yts&ved=2ahUKEwjEveaGsM3jAhVaj4UKHVa2BuEQm_ECegQIARAP&hl=en&gl=us&tcfs=#dest_mid=/m/02_286&dest_src=yts&tcfs=EhUKCS9tLzAyXzI4NhIITmV3IFlvcms
December Holidays,Chile,Easter Island,Chile,"https://www.google.com/travel/guide?hl=en&gl=us&tcfs=EjMKCC9tLzBkX3p6Eg1FYXN0ZXIgSXNsYW5kGhgKCjIwMTktMDgtMDkSCjIwMTktMDgtMTM&output=search&tra=%5B%22AMAbHILLm3qoh8IqitSbR-j8lJ47eBWpCg:1563972946110%22,%22easter+island+chile%22,%22/m/0d_zz%22%5D&dest_mid=/m/0d_zz"
December Holidays,Chile,Punta Arenas,Chile,"https://www.google.com/destination?hl=en&gl=us&tcfs=&output=search&tra=%5B%22AMAbHILLm3qoh8IqitSbR-j8lJ47eBWpCg:1563972946110%22,%22easter+island+chile%22,%22/m/0d_zz%22%5D&dest_mid=/m/02n5vc#dest_mid=/m/02n5vc&tcfs=EhkKCS9tLzAybjV2YxIMUHVudGEgQXJlbmFz"
December Holidays,Chile,Calama,Chile,"https://www.google.com/destination?hl=en&gl=us&tcfs=&output=search&tra=%5B%22AMAbHILLm3qoh8IqitSbR-j8lJ47eBWpCg:1563972946110%22,%22easter+island+chile%22,%22/m/0d_zz%22%5D&dest_mid=/m/045535#dest_mid=/m/045535&tcfs=EhMKCS9tLzA0NTUzNRIGQ2FsYW1h"
December Holidays,Chile,Puerto Natales,Chile,"https://www.google.com/destination?hl=en&gl=us&tcfs=&output=search&tra=%5B%22AMAbHILLm3qoh8IqitSbR-j8lJ47eBWpCg:1563972946110%22,%22easter+island+chile%22,%22/m/0d_zz%22%5D&dest_mid=/m/0bb14q#dest_mid=/m/0bb14q&tcfs=EhsKCS9tLzBiYjE0cRIOUHVlcnRvIE5hdGFsZXM"
December Holidays,Chile,Rio de Janerio,Brazil,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIIdwjAs0dTsZ8v60mB6SPVZbl-Z5w:1563972608075%22,%22san+andres+island%22,%22/m/080h2%22%5D&tcfs=&dest_mid=/m/06gmr#dest_mid=/m/06gmr&tcfs=EhoKCC9tLzA2Z21yEg5SaW8gZGUgSmFuZWlybw"
December Holidays,Peru,Cuzco,Peru,"https://www.google.com/travel/guide?hl=en&gl=us&output=search&tra=%5B%22AMAbHIInKbrKKdaxOO2JajyZHqwu9-cmOQ:1563972991207%22,%22cuzco%22,%22/m/0bb14q%22%5D&tcfs=EhsKCS9tLzBiYjE0cRIOUHVlcnRvIE5hdGFsZXM&dest_mid=/m/0jld3#dest_mid=/m/0jld3&tcfs=EhEKCC9tLzBqbGQzEgVDdXNjbw"
December Holidays,Peru,Buenos Aires,Argentina,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIInKbrKKdaxOO2JajyZHqwu9-cmOQ:1563972991207%22,%22cuzco%22,%22/m/0bb14q%22%5D&tcfs=&dest_mid=/m/01ly5m#dest_mid=/m/01ly5m&tcfs=EhkKCS9tLzAxbHk1bRIMQnVlbm9zIEFpcmVz"
December Holidays,Peru,Santiago,Chile,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIInKbrKKdaxOO2JajyZHqwu9-cmOQ:1563972991207%22,%22cuzco%22,%22/m/0bb14q%22%5D&tcfs=&dest_mid=/m/0dlqv#dest_mid=/m/0dlqv&tcfs=EhQKCC9tLzBkbHF2EghTYW50aWFnbw"
December Holidays,Peru,Miami FL,US,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0f2v0#dest_mid=/m/0f2v0&tcfs=EhEKCC9tLzBmMnYwEgVNaWFtaQ"
December Holidays,Peru,Cancún,Mexico,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/01q98m#dest_mid=/m/01q98m&tcfs=EhQKCS9tLzAxcTk4bRIHQ2FuY8O6bg"
December Holidays,Singapore,Seoul,South Korea,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0hsqf#dest_mid=/m/0hsqf&tcfs=EhEKCC9tLzBoc3FmEgVTZW91bA"
